one_x,one_y,one_ci_lower,one_ci_upper,two_x,two_y,two_ci_lower,two_ci_upper,three_x,three_y,three_ci_lower,three_ci_upper,four_x,four_y,four_ci_lower,four_ci_upper,five_x,five_y,five_ci_lower,five_ci_upper,six_x,six_y,six_ci_lower,six_ci_upper,seven_x,seven_y,seven_ci_lower,seven_ci_upper,eight_x,eight_y,eight_ci_lower,eight_ci_upper,nine_x,nine_y,nine_ci_lower,nine_ci_upper,ten_x,ten_y,ten_ci_lower,ten_ci_upper
29,4764.600097,4659.276994,4869.9232,43,4012.98628,3946.222027,4079.750533,60,3830.269,3762.245888,3898.292112,75,3385.025487,3381.361309,3388.689666,86,3322.41259,3276.616966,3368.208214,110.85,3296.231466,3291.450056,3301.012876,133,3336.370813,3327.680678,3345.060948,161,3296.155445,3282.511707,3309.799183,196,3213.159182,3190.000903,3236.317462,235,3134.967507,3107.041012,3162.894002
29,4764.600097,4659.276994,4869.9232,43.1,4008.790598,3942.144468,4075.436727,60,3830.269,3762.245888,3898.292112,75,3385.025487,3381.361309,3388.689666,87,3310.786084,3265.452221,3356.119947,111,3295.231051,3290.45539,3300.006711,133.9,3331.421539,3322.781744,3340.061334,162,3291.783295,3278.207372,3305.359219,197,3210.278357,3187.206462,3233.350251,237,3130.417995,3102.607973,3158.228018
29.28,4757.578513,4652.629672,4862.527353,43.71,3983.202019,3917.184516,4049.219522,60,3830.269,3762.245888,3898.292112,75,3385.025487,3381.361309,3388.689666,87,3310.786084,3265.452221,3356.119947,112,3288.563676,3283.823679,3293.303674,134,3330.871703,3322.237266,3339.506141,163,3287.411996,3273.899297,3300.924695,198.4,3206.245358,3183.286341,3229.204375,238,3128.148723,3100.389506,3155.90794
29.89,4742.28653,4638.090947,4846.482113,44,3971.040022,3905.265157,4036.814887,60.88,3802.522598,3735.345396,3869.6998,76,3370.101562,3366.468619,3373.734504,87.16,3308.926027,3263.659322,3354.192732,112,3288.563676,3283.823679,3293.303674,135,3325.374274,3316.790785,3333.957763,164,3283.041547,3269.587422,3296.495673,200,3201.636442,3178.794751,3224.478133,240,3123.621145,3095.948766,3151.293525
30,4739.529695,4635.460786,4843.598603,44,3971.040022,3905.265157,4036.814887,61,3798.740071,3731.661523,3865.818619,76,3370.101562,3366.468619,3373.734504,88,3299.161559,3254.216441,3344.106676,113,3281.899889,3277.190849,3286.608929,136,3319.878525,3311.341156,3328.415893,165,3278.671949,3265.271688,3292.07221,201,3198.755992,3175.981224,3221.530759,242,3119.10819,3091.503096,3146.713284
30,4739.529695,4635.460786,4843.598603,44,3971.040022,3905.265157,4036.814887,61,3798.740071,3731.661523,3865.818619,76.271949,3366.044079,3362.417987,3369.670171,88,3299.161559,3254.216441,3344.106676,113,3281.899889,3277.190849,3286.608929,137,3314.384456,3305.888307,3322.880606,166,3274.3032,3260.952042,3287.654359,202,3195.875635,3173.162811,3218.588459,243.8,3115.059032,3087.497948,3142.620116
30,4739.529695,4635.460786,4843.598603,44,3971.040022,3905.265157,4036.814887,61.37,3787.078901,3720.278887,3853.878914,77,3355.183787,3351.572525,3358.795048,88.6,3292.187794,3247.440087,3336.935501,114,3275.23969,3270.556819,3279.922562,137.39,3312.242225,3303.760808,3320.723642,167,3269.935302,3256.628434,3283.242171,204,3190.115203,3167.511168,3212.719238,245,3112.366174,3084.82581,3139.906538
30,4739.529695,4635.460786,4843.598603,44.46,3951.752629,3886.287073,4017.218185,62,3767.229029,3700.813133,3833.644925,77,3355.183787,3351.572525,3358.795048,89,3287.539013,3242.907759,3332.170267,114.6,3271.245293,3266.575794,3275.914792,138,3308.892068,3300.43217,3317.351966,168,3265.568255,3252.30082,3278.83569,205,3187.235127,3164.677866,3209.792388,247,3107.889775,3080.368798,3135.410752
30,4739.529695,4635.460786,4843.598603,45,3929.117247,3863.895098,3994.339397,62,3767.229029,3700.813133,3833.644925,77.54,3347.130745,3343.527159,3350.734332,89,3287.539013,3242.907759,3332.170267,115,3268.583079,3263.921516,3273.244641,139,3303.40136,3294.972689,3311.830032,169,3261.202057,3247.969158,3274.434956,206,3184.355146,3161.839536,3206.870756,248.95,3103.539365,3076.019305,3131.059424
30.6,4724.496367,4621.068474,4827.92426,45,3929.117247,3863.895098,3994.339397,62,3767.229029,3700.813133,3833.644925,78,3340.272161,3336.672865,3343.871458,90,3275.918448,3231.52463,3320.312267,116,3261.930055,3257.284886,3266.575224,140,3297.912333,3289.509812,3306.314854,170,3256.83671,3243.633415,3270.040004,208,3178.595464,3156.147678,3201.04325,250.4112,3100.288568,3072.757738,3127.819398
31,4714.477862,4611.429942,4817.525782,45,3929.117247,3863.895098,3994.339397,63,3735.735872,3669.692753,3801.778992,78,3340.272161,3336.672865,3343.871458,90,3275.918448,3231.52463,3320.312267,116,3261.930055,3257.284886,3266.575224,141,3292.424986,3284.043497,3300.806475,171,3252.472213,3239.293561,3265.650864,209,3175.715764,3153.294105,3198.137422,252,3096.762751,3069.209247,3124.316255
31,4714.477862,4611.429942,4817.525782,45,3929.117247,3863.895098,3994.339397,63,3735.735872,3669.692753,3801.778992,78.82,3328.049218,3324.452423,3331.646013,90.9,3265.461633,3221.215169,3309.708097,117,3255.280619,3250.646885,3259.914353,141.61,3289.078529,3280.707343,3297.449716,172,3248.108566,3234.94957,3261.267561,210.2,3172.260247,3149.863057,3194.657437,254,3092.337531,3064.739525,3119.935536
31,4714.477862,4611.429942,4817.525782,45.2,3920.73551,3855.570439,3985.900581,63,3735.735872,3669.692753,3801.778992,79,3325.366686,3321.769556,3328.963816,91,3264.299864,3220.065863,3308.533864,117.63,3251.093316,3246.464228,3255.722404,142,3286.939319,3278.573712,3295.304927,173.37,3242.13175,3228.991554,3255.271946,212,3167.077226,3144.70261,3189.451841,256,3087.926933,3060.267005,3115.586861
31,4714.477862,4611.429942,4817.525782,45.89,3891.825728,3826.719655,3956.931801,63.7,3713.701305,3647.744148,3779.658463,79,3325.366686,3321.769556,3328.963816,91.52,3258.258982,3214.07713,3302.440834,118,3248.63477,3244.007488,3253.262053,143,3281.455333,3273.100433,3289.810233,175,3235.022727,3221.892617,3248.152836,213,3164.197901,3141.828485,3186.567317,258,3083.530958,3055.792102,3111.269813
31.24,4708.468185,4605.629865,4811.306506,46,3887.217955,3822.101506,3952.334404,64,3704.260603,3638.295992,3770.225213,80,3310.467361,3306.862594,3314.072129,92,3252.683259,3208.530658,3296.83586,119,3241.992509,3237.366683,3246.618336,144,3275.973027,3267.623645,3284.322409,176,3230.662481,3217.531947,3243.793014,215,3158.439532,3136.064768,3180.814296,259,3081.338454,3053.553893,3109.123015
32,4689.444599,4587.178098,4791.7111,46,3887.217955,3822.101506,3952.334404,64,3704.260603,3638.295992,3770.225213,80,3310.467361,3306.862594,3314.072129,92.29,3249.314814,3205.171084,3293.458544,119.38,3239.469391,3234.842808,3244.095974,145,3270.492402,3262.143345,3278.841459,177,3226.303085,3213.167103,3239.439068,216,3155.560488,3133.175183,3177.945794,261,3076.964412,3049.076237,3104.852588
32,4689.444599,4587.178098,4791.7111,46,3887.217955,3822.101506,3952.334404,64.46,3689.787985,3623.760381,3755.815588,80.36,3305.10511,3301.495205,3308.715015,93,3241.068635,3196.918623,3285.218647,120,3235.353836,3230.724476,3239.983197,146,3265.013457,3256.659537,3273.367377,178,3221.94454,3208.798093,3235.090987,217.6,3150.954214,3128.541154,3173.367274,263,3072.604993,3044.597317,3100.61267
32,4689.444599,4587.178098,4791.7111,46.2,3878.840915,3813.691679,3943.990151,65,3672.803219,3606.622322,3738.984116,81,3295.574186,3291.952052,3299.19632,93.28,3237.816895,3193.653479,3281.980312,121,3228.718751,3224.080889,3233.356613,147,3259.536192,3251.172235,3267.900149,179.44,3215.669728,3202.499433,3228.840023,219,3146.92392,3124.475621,3169.37222,265,3068.260197,3040.117606,3096.402788
32,4689.444599,4587.178098,4791.7111,46.9,3849.528671,3784.123813,3914.933528,65,3672.803219,3606.622322,3738.984116,81,3295.574186,3291.952052,3299.19632,94,3229.455991,3185.229786,3273.682196,121.32,3226.596281,3221.954655,3231.237907,148,3254.060608,3245.681465,3262.439752,181,3208.874005,3195.666253,3222.081757,221,3141.166677,3118.650402,3163.682952,267,3063.930023,3035.637585,3092.222461
32.2,4684.440175,4582.30075,4786.579599,47,3845.342146,3779.882991,3910.801302,65.45,3658.653232,3592.279591,3725.026873,82,3280.687161,3277.038083,3284.336239,94.39,3224.927597,3180.650405,3269.204789,122,3222.087253,3217.435958,3226.738548,149,3248.586704,3240.187259,3256.98615,182,3204.518861,3191.280791,3217.756931,222,3138.288196,3115.730207,3160.846186,269,3059.614472,3031.157745,3088.071198
