Smallest quintile,,,,Second smallest,,,,Middle,,,,Second biggest,,,,Biggest quintile,,,
x,y,ci_lower,ci_upper,x,y,ci_lower,ci_upper,x,y,ci_lower,ci_upper,x,y,ci_lower,ci_upper,x,y,ci_lower,ci_upper
72.4,3961.850745,3761.399948,4162.301542,71.19,3746.742016,3730.788375,3762.695657,75.38,3646.219806,3634.152686,3658.286925,78.88,3433.447235,3427.153215,3439.741254,81.42,3363.991862,3356.89557,3371.088154
73,3952.609501,3753.009821,4152.209181,72,3738.836792,3722.988675,3754.684909,76,3640.789716,3628.780928,3652.798505,79.31,3431.489662,3425.211699,3437.767625,82,3362.216027,3355.141029,3369.291025
73.98,3937.517215,3739.245522,4135.788908,72.66,3732.397117,3716.63091,3748.163324,76.92,3632.740227,3620.813537,3644.666917,80,3428.348497,3422.095419,3434.601575,83,3359.154879,3352.115321,3366.194438
74.52,3929.201983,3731.628613,4126.775352,73.21496,3726.983452,3711.283245,3742.683658,77.5,3627.670499,3615.792799,3639.548198,80.6,3425.617108,3419.384779,3431.849437,83.64,3357.196168,3350.178437,3364.2139
75.1,3920.27154,3723.421412,4117.121669,74,3719.327099,3703.715709,3734.938488,78.05,3622.866535,3611.033294,3634.699776,81.04,3423.614123,3417.39648,3429.831767,84.2,3355.482566,3348.483381,3362.481752
76,3906.41546,3710.631942,4102.198977,74.75,3712.014406,3696.482821,3727.54599,79,3614.576887,3602.81581,3626.337964,81.9,3419.699282,3413.509031,3425.889533,85,3353.035003,3346.061408,3360.008598
76.62,3896.871223,3701.782614,4091.959831,75.34,3706.263073,3690.790754,3721.735392,79.65,3608.910941,3597.19583,3620.626052,82.3,3417.878463,3411.700357,3424.05657,85.84,3350.465616,3343.517737,3357.413495
77.27,3886.866098,3692.470674,4081.261523,76,3699.830756,3684.421022,3715.240489,80.19,3604.207504,3592.528454,3615.886553,83,3414.692088,3408.534315,3420.849861,86.47,3348.538949,3341.609575,3355.468324
78,3875.630711,3681.970186,4069.291235,76.9,3691.061757,3675.730973,3706.39254,81,3597.15857,3585.529968,3608.787172,83.48,3412.507187,3406.362676,3418.651699,87.1,3346.612603,3339.701056,3353.524149
78.86,3862.396042,3669.541445,4055.25064,77.32,3686.970482,3671.673991,3702.266974,81.78,3590.377765,3578.793578,3601.961951,84,3410.14025,3404.009476,3416.271025,88,3343.861234,3336.973972,3350.748495
79.48,3852.855805,3660.541645,4045.169965,78,3680.347763,3665.103313,3695.592212,82.31,3585.774245,3574.217893,3597.330598,84.66,3407.136119,3401.021829,3413.250409,88.75,3341.568925,3334.700829,3348.43702
80.04,3844.239562,3652.384053,4036.095071,78.94,3671.195368,3656.015715,3686.375021,83,3579.785774,3568.262798,3591.308751,85.1,3405.133401,3399.029507,3411.237296,89.44,3339.460401,3332.609071,3346.311732
81,3829.470504,3638.335571,4020.605438,79.57332,3665.030653,3649.889937,3680.171369,83.96,3571.463002,3559.981053,3582.94495,85.94,3401.310111,3395.224731,3407.395491,90.1,3337.443912,3330.607834,3344.27999
81.8,3817.164544,3626.56616,4007.762929,80.24,3658.54266,3643.438793,3673.646526,84.46,3567.132378,3555.669296,3578.595461,86.38,3399.307477,3393.231094,3405.38386,91,3334.694719,3327.878197,3341.511241
82.47,3806.859414,3616.665301,3997.053527,81,3651.148305,3636.081233,3666.215376,85.095,3561.636587,3550.194986,3573.078189,87,3396.485633,3390.421103,3402.550163,92,3331.640827,3324.84434,3338.437313
83.18,3795.940157,3606.129297,3985.751017,82,3641.421827,3626.394652,3656.449002,86,3553.811934,3542.396143,3565.227726,87.71,3393.254237,3387.202092,3399.306382,92.9,3328.893013,3322.113022,3335.673003
84,3783.330599,3593.904212,3972.756986,82.86,3633.059726,3618.059074,3648.060377,86.73,3547.507127,3536.108034,3558.90622,88.18,3391.115185,3385.070535,3397.159835,93.78,3326.206892,3319.441615,3332.97217
85,3767.955141,3578.912768,3956.997515,83.58,3626.060795,3611.076787,3641.044803,87.4,3541.72586,3530.338852,3553.112868,89,3387.383301,3381.350382,3393.41622,94.66,3323.521396,3316.769423,3330.273369
85.8,3755.6564,3566.853766,3944.459033,84.25796,3619.472106,3604.499121,3634.44509,88.04,3536.208227,3524.829868,3547.586586,89.7,3384.197626,3378.173361,3390.221892,95.58,3320.7145,3313.974923,3327.454077
86.59,3743.512809,3554.887841,3932.137777,85,3612.262419,3597.296327,3627.228511,89,3527.940518,3516.569834,3539.311201,90.33,3381.330582,3375.313027,3387.348136,96.47,3317.999782,3311.270717,3324.728846
87.4,3731.063247,3542.559337,3919.567157,86,3602.549292,3587.583929,3617.514654,90,3519.339473,3507.970045,3530.708901,91,3378.281567,3372.270027,3384.293107,97.46,3314.980789,3308.261703,3321.699876
88.2,3718.768836,3530.323666,3907.214006,86.9,3593.81033,3578.837232,3608.783429,90.8,3512.466831,3501.093478,3523.840185,92,3373.730924,3367.726201,3379.735647,98.44,3311.99307,3305.282075,3318.704065
89.12,3704.632048,3516.179661,3893.084436,87.64,3586.626988,3571.641585,3601.61239,91.74,3504.400784,3493.017251,3515.784318,92.85,3369.862995,3363.862027,3375.863962,99.5,3308.762327,3302.058078,3315.466575
90.05,3690.34354,3501.802609,3878.884472,88.46,3578.669202,3563.663925,3593.674478,92.68,3496.344793,3484.945108,3507.744477,93.64,3366.268192,3360.269031,3372.267354,100.57,3305.502023,3298.802467,3312.201579
91.06,3674.828123,3486.098675,3863.557571,89.46,3568.967622,3553.929276,3584.005968,93.74,3487.27244,3475.847448,3498.697433,94.54,3362.172962,3356.17388,3368.172043,101.736,3301.950257,3295.253388,3308.647126
92.14,3658.239925,3469.202876,3847.276975,90.47,3559.172414,3544.090887,3574.253941,94.87,3477.615052,3466.154896,3489.075208,95.4,3358.259854,3352.258881,3364.260827,102.94,3298.283889,3291.58714,3304.980638
93.3,3640.425903,3450.937081,3829.914724,91.62,3548.0236,3532.881062,3563.166138,96,3467.972195,3456.468554,3479.475836,96.3,3354.16486,3348.159849,3360.169871,104,3295.056991,3288.358117,3301.755866
94.54,3621.386684,3431.276982,3811.496385,92.86,3536.007216,3520.784946,3551.229485,97,3459.450813,3447.901863,3470.999763,97.23,3349.933493,3343.922104,3355.944882,105.21,3291.374563,3284.670715,3298.078412
95.8,3602.043933,3411.158808,3792.929058,94,3524.964422,3509.656291,3540.272553,98,3450.940812,3439.340254,3462.54137,98.28,3345.156298,3339.135022,3351.177575,106.64,3287.024125,3280.310909,3293.737341
97,3583.625595,3391.868207,3775.382982,95,3515.281332,3499.888153,3530.674511,99.22,3440.574022,3428.902143,3452.245901,99.34,3340.333774,3334.299641,3346.367907,108,3282.888174,3276.162559,3289.613789
98,3568.279461,3375.696843,3760.862079,96.31,3502.601534,3487.08346,3518.119608,100.6,3428.868069,3417.104708,3440.631431,100.48,3335.147472,3329.096309,3341.198635,109.3,3278.936086,3272.195461,3285.676711
99.5,3545.264489,3351.279146,3739.249833,97.79,3488.283157,3472.606041,3503.960273,102,3417.014612,3405.147062,3428.882162,101.74,3329.41547,3323.341657,3335.489283,110.98,3273.830789,3267.066234,3280.595345
101,3522.254593,3326.672616,3717.83657,99,3476.582348,3460.761469,3492.403227,103.1171,3407.572399,3395.613746,3419.531053,103,3323.683705,3317.583266,3329.784144,112.4,3269.517373,3262.728648,3276.306098
102.24504,3503.15962,3306.108582,3700.210659,100.44,3462.663786,3446.656233,3478.67134,104.76,3393.711699,3381.606666,3405.816733,104.07,3318.81644,3312.690307,3324.942572,114,3264.659132,3257.838902,3271.479362
103.96,3476.863287,3277.580918,3676.145656,102,3447.593154,3431.364936,3463.821371,106.09,3382.51335,3370.279406,3394.747294,105.56,3312.038944,3305.872388,3318.2055,115.86,3259.014021,3252.151567,3265.876475
105.24,3457.240735,3256.140449,3658.341021,103.26,3435.426649,3419.006745,3451.846554,107.88,3367.473667,3355.052195,3379.895139,107,3305.489196,3299.278525,3311.699866,117.65,3253.583994,3246.675328,3260.49266
